product_id,family,collection,variant_size,margin_pct,price_cents,base_eu_eur,base_us_usd,revenue_usd_at_fx,us_cost_usd,gross_margin_usd,status
photo-atmospheric-leiden-017-hpr-a4,hpr,the-atmospheric-collection,a4,50,900,6,6,10.5435,6,4.5435,OK
photo-atmospheric-leiden-017-hpr-a3,hpr,the-atmospheric-collection,a3,50,1800,12,12,21.087,12,9.087,OK
photo-atmospheric-leiden-017-pos-6x4-pack10,pos,the-atmospheric-collection,6x4,350,2700,6,6,31.6305,6,25.6305,OK
photo-atmospheric-leiden-017-pos-6x4-pack20,pos,the-atmospheric-collection,6x4,350,4950,11,11,57.9892,11,46.9892,OK
photo-atmospheric-leiden-017-pos-6x4-pack50,pos,the-atmospheric-collection,6x4,350,11250,25,25,131.7938,25,106.7938,OK
photo-atmospheric-leiden-017-pos-6x4-pack100,pos,the-atmospheric-collection,6x4,350,19800,44,44,231.957,44,187.957,OK
photo-atmospheric-leiden-017-pos-7x5-pack10,pos,the-atmospheric-collection,7x5,350,4050,9,9,47.4457,9,38.4457,OK
photo-atmospheric-leiden-017-pos-7x5-pack20,pos,the-atmospheric-collection,7x5,350,7200,16,16,84.348,16,68.348,OK
photo-atmospheric-leiden-017-pos-7x5-pack50,pos,the-atmospheric-collection,7x5,350,17550,39,39,205.5982,39,166.5982,OK
photo-atmospheric-leiden-017-pos-7x5-pack100,pos,the-atmospheric-collection,7x5,350,32850,73,73,384.8377,73,311.8377,OK
photo-atmospheric-leiden-068-can-16x12,can,the-atmospheric-collection,16x12,70,4080,24,24,47.7972,24,23.7972,OK
photo-atmospheric-leiden-068-can-20x16,can,the-atmospheric-collection,20x16,70,5100,30,30,59.7465,30,29.7465,OK
photo-atmospheric-leiden-068-can-40x30,can,the-atmospheric-collection,40x30,70,10880,64,64,127.4592,64,63.4592,OK
photo-atmospheric-leiden-068-clp-16x20,clp,the-atmospheric-collection,16x20,150,2250,9,9,26.3588,9,17.3588,OK
photo-atmospheric-leiden-068-clp-24x36,clp,the-atmospheric-collection,24x36,150,4250,17,17,49.7888,17,32.7888,OK
photo-atmospheric-leiden-068-ema-16x20,ema,the-atmospheric-collection,16x20,70,1530,9,15,17.924,15,2.924,EROSION
photo-atmospheric-leiden-068-ema-a5,ema,the-atmospheric-collection,a5,70,595,3.5,3.5,6.9704,3.5,3.4704,OK
photo-atmospheric-leiden-068-ema-24x36,ema,the-atmospheric-collection,24x36,70,3060,18,22,35.8479,22,13.8479,OK
photo-atmospheric-leiden-068-ema-a4,ema,the-atmospheric-collection,a4,70,850,5,5,9.9578,5,4.9578,OK
