product_id,family,collection,variant_size,margin_pct,price_cents,cost_basis_currency,base_eu_costbasis,base_uk_costbasis,base_us_costbasis_converted,base_au_costbasis_converted,revenue_costbasis,eu_margin_costbasis,us_margin_costbasis,au_margin_costbasis,us_eu_ratio,uk_diverges_from_eu,status_us
photo-atmospheric-leiden-068-fap-a3-black,fap,the-atmospheric-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-fap-a3-natural-oak,fap,the-atmospheric-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-fap-a3-white,fap,the-atmospheric-collection,a3,60,8000,GBP,50.0,50.0,,,80.0,30.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-gre-6x4-pack10,gre,the-atmospheric-collection,6x4,250,2800,GBP,8.0,8.0,,,28.0,20.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-gre-6x4-pack20,gre,the-atmospheric-collection,6x4,250,5250,GBP,15.0,15.0,,,52.5,37.5,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-gre-6x4-pack50,gre,the-atmospheric-collection,6x4,250,12600,GBP,36.0,36.0,,,126.0,90.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-gre-6x4-pack100,gre,the-atmospheric-collection,6x4,250,23100,GBP,66.0,66.0,,,231.0,165.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-gre-7x5-pack10,gre,the-atmospheric-collection,7x5,250,2800,GBP,8.0,8.0,,,28.0,20.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-gre-7x5-pack20,gre,the-atmospheric-collection,7x5,250,5250,GBP,15.0,15.0,,,52.5,37.5,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-gre-7x5-pack50,gre,the-atmospheric-collection,7x5,250,12600,GBP,36.0,36.0,,,126.0,90.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-gre-7x5-pack100,gre,the-atmospheric-collection,7x5,250,23100,GBP,66.0,66.0,,,231.0,165.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-068-hge-16x20,hge,the-atmospheric-collection,16x20,50,2400,GBP,16.0,16.0,14.06,,24.0,8.0,9.94,,0.879,no,OK
photo-atmospheric-leiden-068-hge-a5,hge,the-atmospheric-collection,a5,50,600,GBP,4.0,4.0,5.92,,6.0,2.0,0.08000000000000007,,1.48,no,EROSION
photo-atmospheric-leiden-068-hge-24x36,hge,the-atmospheric-collection,24x36,50,5850,GBP,39.0,39.0,30.35,,58.5,19.5,28.15,,0.778,no,OK
photo-atmospheric-leiden-068-hge-a4,hge,the-atmospheric-collection,a4,50,900,GBP,6.0,6.0,8.14,,9.0,3.0,0.8599999999999994,,1.357,no,EROSION
photo-atmospheric-leiden-068-hge-a3,hge,the-atmospheric-collection,a3,50,1800,GBP,12.0,12.0,11.84,,18.0,6.0,6.16,,0.987,no,OK
photo-atmospheric-leiden-068-hpr-16x20,hpr,the-atmospheric-collection,16x20,50,2400,GBP,16.0,16.0,14.06,17.17,24.0,8.0,9.94,6.829999999999998,0.879,no,OK
photo-atmospheric-leiden-068-hpr-a5,hpr,the-atmospheric-collection,a5,50,600,GBP,4.0,4.0,5.92,6.98,6.0,2.0,0.08000000000000007,-0.9800000000000004,1.48,no,EROSION
photo-atmospheric-leiden-068-hpr-24x36,hpr,the-atmospheric-collection,24x36,50,5850,GBP,39.0,39.0,30.35,41.86,58.5,19.5,28.15,16.64,0.778,no,OK
photo-atmospheric-leiden-068-hpr-a4,hpr,the-atmospheric-collection,a4,50,900,GBP,6.0,6.0,8.14,9.12,9.0,3.0,0.8599999999999994,-0.11999999999999922,1.357,no,EROSION
photo-atmospheric-leiden-068-hpr-a3,hpr,the-atmospheric-collection,a3,50,1800,GBP,12.0,12.0,11.84,13.42,18.0,6.0,6.16,4.58,0.987,no,OK
photo-atmospheric-leiden-074-can-16x12,can,the-atmospheric-collection,16x12,70,4080,GBP,24.0,24.0,,,40.8,16.799999999999997,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-can-20x16,can,the-atmospheric-collection,20x16,70,5100,GBP,30.0,30.0,,,51.0,21.0,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-can-40x30,can,the-atmospheric-collection,40x30,70,10880,GBP,64.0,64.0,,,108.8,44.8,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-clp-16x20,clp,the-atmospheric-collection,16x20,150,2250,GBP,9.0,9.0,,,22.5,13.5,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-clp-24x36,clp,the-atmospheric-collection,24x36,150,4250,GBP,17.0,17.0,,,42.5,25.5,,,,no,NO-US-DATA
photo-atmospheric-leiden-074-ema-16x20,ema,the-atmospheric-collection,16x20,70,1530,GBP,9.0,9.0,11.1,,15.3,6.300000000000001,4.200000000000001,,1.233,no,OK
photo-atmospheric-leiden-074-ema-a5,ema,the-atmospheric-collection,a5,70,595,GBP,3.5,3.5,5.55,,5.95,2.45,0.40000000000000036,,1.586,no,EROSION
